english,french
Capture/release sampling,Échantillonnage par capture-recapture
Cardioid distribution,Distribution cardioïde
Carli's index,Indice de Carli
CART,CART
CART algorithm,CART
Cartesian Coordinate System,Système de coordonnées cartésiennes
Cartesian coordinates,Coordonnées cartésiennes
Cartesian product,Produit cartésien
Cartesian product 2 sets,Produit cartésien de deux ensembles
Cartesian set,Produit cartésien
Cartesian spatial coordinate datum,Donnée de coordonnées spatiales cartésiennes
Cartesian spatial coordinate origin,Origine de coordonnées spatiales cartésiennes
Cartogram,Cartogramme
Cascading,Cascading
Case-based reasoning,Raisonnement par cas
Case-based reasoning algorithm,Algorithme de raisonnement par cas
Case-based reasoning systems,Systèmes de raisonnement basés sur des cas
Case-control study,Étude rétrospective
Case-control study design,Plan d'étude cas-témoins
Case-referent study,Étude rétrospective
Cassandra,Cassandra
Cataphor,Cataphore
Catastrophe theory,Théorie des catastrophes
Categorical Cross-Entropy Loss,Erreur entropie croisée catégorielle
Categorical data,Données catégorielles
Categorical distribution,Categorical distribution
Categorical label,Étiquette catégorielle
Categorical value specification,Spécification de valeur catégorielle
Categorical variable,Variable catégorielle
Categorization of text material,Catégorisation de documents
Cauchy distribution,Distribution de Cauchy
Cauchy-Bunyakovski-Schwarz inequality,Inégalité de Cauchy-Schwarz
Cauchy-Schwarz inequality,Inégalité de Cauchy-Schwarz
Causal distribution,Distribution causale
Causality,Causalité
Causation,Causalité en statistiques
Cause variable,Variable descriptive
CBOW algorithm,Algorithme CBOW
Cédille,Cédille
Cell model,Modèle matriciel
Censored regression model,Modèle de Tobit
Center calculation objective,Objectif de calcul du centre
Center value,Médiane
Centered deep Boltzmann machine,Astuce de centrage
Centering trick,Astuce de centrage
Centile,Centile
Central composite design,Plan composite centré
Central confidence interval,Intervalle de confiance central
Central Limit Theorem,Théorème central limite
Central location,Centre de position
Central moment,Moment centré
Central place theory,Théorie des lieux centraux
Central tendency,Tendance centrale
Central value,Tendance centrale
Central-place theory,Théorie des lieux centraux
Centrally registered identifier,Identifiant enregistré centralement
Centre of location,Centre de position
Centroid linkage clustering,Regroupement par méthode de lien centroïde
Centroid method,Méthode centroïde
Centroid-based clustering,Regroupement basé sur les centroïdes
Centroid-linkage clustering,Regroupement par méthode de lien centroïde
Cepstrum,Cepstre
Certainty factor,Facteur de certitude
Certification,Certification
CGI,CGI
Chain index,Indice en chaîne
Chain referral sampling,Sondage boule de neige
Chain rule,Règle de dérivation en chaîne
Chain sampling,Sondage boule de neige
Chain-of-Thought,Chaîne de pensée
Chain-of-thought prompting,Requête de décomposition en étapes
Chain-relative,Chaîne de rapports
Champernowne distribution,Distribution de Champernowne
Chance variation,Chance variation
Channel,Canal
Chapman-Kolmogorov equation,Équation de Chapman-Kolmogorov
Characteristic function,Fonction caractéristique
Characteristic Functions,Fonction caractéristique
Characteristic life,Caractéristique de survie
Characteristic root,Racine caractéristique
Characteristic vector,Vecteur propre
Charlier polynomials,Polynômes de Gram-Charlier
Chart,Diagramme
Chat GPT,ChatGPT
Chat interface,Interface de clavardage
Chatbot,Robot conversationnel
ChatGPT,ChatGPT
Chatgpt,ChatGPT
Chauvenet's criterion,Critère de Chauvenet
Checkpoint,Point de contrôle
Chernoff's faces,Visages de Chernoff
Chi distribution,Distribution du chi
Chi square test of goodness of fit,Test du Chi carré d'ajustement
Chi-square probability distribution,Distribution de probabilités de chi carré
Chi-square test,Test du χ2
Chi-squared,Dérive conceptuelle
Chi-squared distribution,Distribution chi carré
Chi-squared statistic,Variable du chi-deux
Chi-squared test of independance,Test de chi carré d'indépendance
Chief data officer,Directeur des données
Chinese room argument,Argument de la chambre chinoise
Chomsky hierarchy,Hiérarchie de Chomsky
Chromatic Dispersion,Dispersion chromatique
Chronological backtracking,Retour sur trace non-chronologique
Churn,Attrition
Churn code,Code jetable
Cibernétique,Cybernétique
Cindynics,Cindynique
Circuit recognition,Reconnaissance de circuits
Circuit recognition engine,Reconnaissance de circuits
Circular chart,Diagramme circulaire
Circular diagram,Diagramme circulaire
Circular distribution,Distribution circulaire
Circular serial correlation coefficient,Coefficient de corrélation sériale circulaire
Circular uniform distribution,Distribution circulaire uniforme
Circumscription,Circonscription
Citizen data scientist,Citoyen scientifique des données
Clamping,Forçage
Class,Classe
Class imbalance,Données déséquilibrées
Class Imbalance Plot,Diagramme de déséquilibre des classes
Class-imbalanced data set,Ensemble de données avec déséquilibre des classes
Classes in classification tasks,Classe
Classification,Classification
Classification And Regression Trees,CART
Classification model,Modèle de classification
Classification multi-label,Classification multiétiquettes
Classification statistic,Fonction discriminante
Classification threshold,Seuil de classification
Classification tree,Arbre de classification
Classified information,Renseignement classifié
Classifier,Classificateur
Claude,Claude
Clearing,Réécriture
Cleartext,Texte en clair
Cleveland dot plot,Diagramme de Cleveland
Click farm,Usine à clics
Clickbait,Piège à clics
Clickstream,Flux de clics
Clickstream Analytics,Analyse des flux de clics
Clifford group,Groupe de Clifford
CLIP,Préentraînement contrastif langue-image
Clipper Chip,Puce de clippage
CLIQUE,Algorithme CLIQUE
CLIQUE clustering,Algorithme CLIQUE
Clique Tree,Algorithme d'arbre de jonction
Clojure,Clojure
Closed end question,Question fermée
Closed ended question,Question fermée
Closed question,Question fermée
Closed world assumption,Hypothèse du monde clos
Closed-end question,Question fermée
Closed-ended question,Question fermée
Closedworld assumption,Hypothèse du monde clos
Cloud,Infonuagique
Cloud computing,Infonuagique
Cloud robotics,Robotique en nuage
Cloud storage,Stockage en nuage
Cloudera Impala,Apache Impala
Cluster,Grappe
Cluster analysis,Analyse par grappes
Cluster computing,Grappe de serveurs
Cluster sampling,Échantillonnage en grappes
Cluster state,État des grappes
Clustered bar chart,Diagramme à barres groupées
Clustering,Regroupement de données
Clustering in text analysis,Segmentation en analyse de texte
CMOS,CMOS
CN2 algorithm,Algorithme CN2
CNN,Réseau convolutif
CNN Explainer,CNN Explainer
CNTK,CNTK
Co-location,Colocalisation
Co-training,Co-apprentissage
Coalescent process,Processus coalescent
COAST,COAST
Cobweb,Cobweb
Cochran's criterion,Test de McNemar
Cochran's Q-test,Test de McNemar
Cochran's rule,Règle de Cochran
Cochran's test,Test de Cochran
Cochran's theorem,Théorème de Cochran
Cochran-Armitage test for trend,Test de tendance de Cochrane-Armitage
Cochran-Mantel-Haenzel test,Test de Cochran-Mantel-Heanszel
COCO,COCO
Code breaking,Analyse cryptographique
Code cracking,Craquage
Codebreaking,Analyse cryptographique
Coefficient,Coefficient
Coefficient of agreement,Coefficient de concordance
Coefficient of alienation,Coefficient d'aliénation
Coefficient of association,Coefficient d'association
Coefficient of concordance,Coefficient de concordance
Coefficient of contingency,Coefficient de contingence
Coefficient of determination,Coefficient de détermination
Coefficient of determination R2,Coefficient de détermination
Coefficient of excess,Coefficient d'aplatissement
Coefficient of multiple correlation,Coefficient de corrélation multiple
Coefficient of multiple partial correlation,Coefficient de corrélation partielle multiple
Coefficient of non-determination,Coefficient de non-détermination
Coefficient of self-similarity,Coefficient d'autosimilarité
Coefficient of skewness,Coefficient de dissymétrie
Coefficient of variation,Coefficient de variation
Cognitive,Cognition
Cognitive agent,Agent cognitif
Cognitive architecture,Architecture cognitive
Cognitive computer,Machine pensante
Cognitive computing,Informatique cognitive
Cognitive diagnostic,Diagnostic cognitif
Cognitive modeling,Modélisation cognitive
Cognitive Probabilistic Model,Modèle cognitif probabiliste
Cognitive science,Science Cognitive
Cognitive task,Tâche cognitive
Cognitive technology,Technologies cognitives
Cognitivism',Cognitivisme
Cohen's kappa,Kappa de Cohen
Cohen-Grossberg Neural Networks,Réseaux neuronaux de Cohen et Grossberg
Cohen-Lynch-Riesenfel algorithm,Algorithme d'Oslo
Coherent detectors,Détecteurs cohérents
Cohort,Cohorte
Cohort study,Étude de cohorte
Cold atoms,Atomes froids
Cold storage,Stockage à froid
Collaborative filtering,Filtrage collaboratif
Collaborative system,Mode collaboratif
Collider,Collisionneur
Collinearity,Colinéarité
Column generation,Génération de colonnes
Column-oriented database,Base de données en colonnes
Columnar Database,Base de données en colonnes
Combination analysis,Analyse combinatoire
Combinatorial analysis,Analyse combinatoire
Combinatorial explosion,Explosion combinatoire
Combinatorial optimization,Optimisation combinatoire
Combinatorial product,Produit cartésien
Combinatorial test,Test combinatoire
Commission error,Erreur de commission
Committee machine,Machine de comité
Common Channel Signaling System 7,Système de signalisation n° 7
Common factor,Facteur commun
Common knowledge,Connaissance commune
Common Objects in Context,COCO
Common Objects in Context dataset,COCO
Common sense reasoning,Raisonnement de sens commun
Common-sense reasoning,Raisonnement de sens commun
Commonsense knowledge,Connaissance de bon sens
Commonsense reasoning,Raisonnement de sens commun
Communications security,COMSEC
Comparative mortality factor,Indice comparatif de mortalité
Comparative mortality figure,Indice comparatif de mortalité
Compartment model,Modèle à compartiments
Compartmental model,Modèle à compartiments
Compatibility matrix,Matrice de compatibilité
Compensating error,Erreur de compensation
Complete case analysis,Analyse de cas complète
Complete Latin square,Carré latin complet
Complete linkage clustering,Regroupement par méthode de lien complet
Complete problem,Problème complet
Complete-linkage clustering,Regroupement par méthode de lien complet
Completeness,Complétude
Complex number,Nombre complexe
Complex unit,Unité complexe
Complexity theory,Théorie de la complexité
Component band chart,Graphique à ceintures
Component line chart,Graphique à ceintures
Component of variance,Composante de variance
Component part bar chart,Diagramme à barres empilées
Component part line chart,Graphique à ceintures
Composed Poisson distribution,Distribution de Poisson composée
Composite hypothesis,Hypothèse composée
Composite IA,Composite IA
Composite index,Indice agrégatif
Compositional data,Données compositionnelles
Compositional semantics,Sémantique compositionnelle
Compositionality,Compositionnalité
Compositionality contamination,Contamination des données par furetage
Compound binomial distribution,Distribution bêta binomiale
Compound distribution,Distribution composée de fréquences
Compound frequency distribution,Distribution composée de fréquences
Compound hypergeometric distribution,Distribution hypergéométrique composée
Compound probability distribution,Distribution de probabilité composée
Compound symmetry covariance structure,Structure de covariance de symétrie composée
Comprehension,Intension
Compromise,Compromission
Compromising emanation,Émission compromettante
Compromising emission,Émission compromettante
Computation graph,Graphe de calcul
Computational basis,Base computationnelle
Computational biology,Bioinformatique
Computational chemistry,Chimie numérique
Computational complexity theory,Théorie de la complexité
Computational creativity,Créativité informatique
Computational cybernetics,Cybernétique informatique
Computational graph,Graphe de calcul
Computational humour,Computational humour
Computational Learning Theory,Théorie de l'apprentissage informatique
Computational linguistics,Informatique linguistique
Computational mathematics,Mathématiques computationnelles
Computational neuroscience,Neurosciences informatiques
Computational neurosciences,Neurosciences informatiques
Computational number theory,Théorie algorithmique des nombres
Computational problem,Problème algorithmique
Computational statistics,Statistique computationnelle
Computationnal intelligence,Intelligence computationnelle
